17,18,19
24,22,23
43,44,42
52,53,54
68,0,1
69,16,17
69,17,19
69,19,20
70,69,20
70,20,21
24,71,22
71,24,25
71,70,21
71,21,22
72,14,15
72,15,16
69,72,16
73,72,69
73,69,70
74,70,71
74,73,70
75,74,71
25,75,71
26,75,25
76,11,12
76,12,13
76,13,14
72,76,14
77,76,72
73,77,72
75,78,74
78,77,73
78,73,74
27,79,26
79,78,75
26,79,75
80,9,10
80,10,11
80,11,76
81,76,77
81,80,76
78,82,77
82,81,77
79,83,78
83,82,78
84,7,8
84,8,9
80,84,9
85,84,80
85,80,81
86,85,81
86,81,82
87,83,79
27,87,79
28,87,27
83,88,82
87,88,83
88,86,82
89,5,6
89,6,7
84,89,7
85,90,84
90,89,84
66,67,91
91,67,68
91,68,1
91,1,2
91,2,3
92,91,3
92,3,4
92,4,5
89,92,5
93,85,86
93,90,85
94,93,86
88,94,86
95,94,88
95,88,87
29,96,28
29,30,96
96,95,87
28,96,87
90,97,89
97,92,89
98,66,91
98,91,92
93,99,90
99,97,90
100,93,94
100,99,93
101,94,95
101,100,94
102,101,95
102,95,96
30,102,96
103,98,92
97,103,92
104,65,66
104,66,98
105,103,97
99,105,97
106,99,100
106,105,99
107,106,100
107,100,101
108,101,102
108,107,101
31,109,30
109,108,102
30,109,102
110,104,98
103,110,98
111,110,103
105,111,103
112,105,106
112,111,105
113,106,107
113,112,106
114,107,108
114,113,107
115,108,109
115,114,108
116,64,65
116,65,104
110,116,104
32,33,117
117,115,109
31,117,109
32,117,31
111,118,110
118,116,110
119,111,112
119,118,111
120,112,113
120,119,112
121,113,114
121,120,113
122,121,114
122,114,115
33,123,117
117,123,115
123,122,115
62,63,124
124,63,64
124,64,116
118,124,116
125,118,119
126,119,120
126,125,119
127,120,121
127,126,120
128,121,122
128,127,121
123,129,122
129,128,122
34,130,33
130,129,123
33,130,123
131,62,124
131,124,118
125,131,118
132,125,126
133,126,127
133,132,126
134,127,128
134,133,127
135,134,128
129,135,128
136,129,130
136,135,129
137,61,62
137,62,131
138,131,125
138,137,131
132,138,125
35,139,34
139,136,130
34,139,130
140,132,133
141,133,134
141,140,133
142,141,134
135,142,134
143,142,135
143,135,136
144,60,61
144,61,137
144,137,138
145,138,132
145,144,138
140,145,132
36,146,35
146,143,136
139,146,136
35,146,139
147,140,141
142,148,141
148,147,141
149,142,143
149,148,142
150,59,60
150,60,144
151,144,145
151,150,144
152,145,140
152,151,145
147,152,140
153,149,143
146,153,143
36,154,146
154,153,146
37,154,36
148,155,147
155,152,147
156,148,149
156,155,148
157,59,150
157,150,151
158,157,151
158,151,152
153,159,149
159,156,149
160,159,153
160,153,154
37,160,154
161,158,152
155,161,152
162,155,156
162,161,155
163,57,58
163,58,59
157,163,59
164,157,158
164,163,157
159,165,156
165,162,156
166,159,160
166,165,159
39,167,38
167,166,160
167,160,37
38,167,37
168,164,158
161,168,158
169,161,162
169,168,161
170,57,163
170,163,164
171,169,162
165,171,162
172,165,166
172,171,165
173,166,167
173,172,166
40,174,39
174,173,167
39,174,167
175,170,164
168,175,164
176,168,169
176,175,168
177,56,57
170,177,57
178,176,169
171,178,169
179,171,172
179,178,171
180,172,173
180,179,172
174,181,173
181,180,173
182,177,170
175,182,170
183,182,175
183,175,176
41,184,40
184,181,174
40,184,174
185,183,176
178,185,176
186,178,179
186,185,178
187,179,180
187,186,179
188,54,55
188,55,56
188,56,177
182,188,177
189,187,180
181,189,180
50,51,190
190,182,183
42,44,191
44,45,191
191,189,181
184,191,181
41,191,184
42,191,41
49,50,192
192,50,190
192,190,183
185,192,183
193,185,186
48,49,193
49,192,193
193,192,185
194,186,187
47,48,194
48,193,194
194,193,186
51,52,195
52,54,195
195,54,188
195,188,182
190,195,182
51,195,190
45,46,196
46,47,196
196,47,194
196,194,187
189,196,187
191,196,189
45,196,191
